A: Future prefect: geographical regions of Japan
B: 北海道	Hokkaido
B: 東北	Tohoku
B: 青森	Aomori
B: 秋田	Akita
X: 岩手	Iwate
X: 山形	Yamagata
X: 宮城	Miyagi
B: 福島	Fukushima
B: 関東	Kanto
X: 栃木	Tochigi
X: 群馬	Gunma
B: 茨城	Ibaraki
B: 埼玉	Saitama
B: 東京	Tokyo
B: 千葉	Chiba
X: 神奈川	Kanagawa
X: 中部	Chubu
B: 新潟	Niigata
B: 石川	Ishikawa
B: 富山	Toyama
B: 長野	Nagano
B: 福井	Fukui
B: 岐阜	Gifu
X: 山梨	Yamanashi
B: 愛知	Aichi
B: 静岡	Shizuoka
B: 関西	Kansai
B: 兵庫	Hyogo
B: 京都	Kyoto
X: 滋賀	Shiga
B: 大阪	Osaka
B: 奈良	Nara
X: 三重	Mie
B: 和歌山	Wakayama
B: 中国	Chugoku
B: 鳥取	Tottori
X: 島根	Shimane
B: 岡山	Okayama
B: 広島	Hiroshima
X: 山口	Yamaguchi
B: 四国	Shikoku
B: 香川	Kagawa
X: 愛媛	Ehime
X: 徳島	Tokushima
B: 九州	Kyushu
B: 沖縄	Okinawa
B: 福岡	Fukuoka
X: 佐賀	Saga
B: 長崎	Nagasaki
B: 熊本	Kumamoto
B: 大分	Oita
B: 宮崎	Miyazaki
B: 鹿児島	Kagoshima
B: 沖縄	Okinawa
