Word	Reading	JLPT	Meaning
愛	あい	JLPT N3	[Noun, Noun - used as a suffix] 1. love; affection; care {See also 愛する} [Noun] 2. attachment; craving; desire {Buddhist term}
愛情	あいじょう	JLPT N3	[Noun, No-adjective] 1. love; affection
合図	あいず	JLPT N3	[Noun, Suru verb] 1. sign; signal | Other forms: 相図 【あいず】
アイスクリーム	アイスクリーム	JLPT N3	[Noun] 1. ice cream; icecream
愛する	あいする	JLPT N3	[Suru verb - special class, Transitive verb] 1. to love
相手	あいて	JLPT N3	[Noun] 1. companion; partner; company 2. other party; addressee 3. opponent (sports, etc.)
生憎	あいにく	JLPT N3	[Na-adjective, Adverb, Noun, No-adjective] 1. unfortunately; Sorry, but ... {Usually written using kana alone} | Other forms: 合憎 【あいにく】 [Notes] 合憎: Irregular kanji usage.
アイロン	アイロン	JLPT N3	[Noun] 1. iron (for pressing clothes) 2. hair iron; hair tong; curling tong
アウト	アウト	JLPT N3	[Noun] 1. out [Wikipedia definition] 2. Out
明かり	あかり	JLPT N3	[Noun] 1. light; illumination; glow; gleam {Only applies to 明かり, Only applies to 明り} 2. lamp; light {See also 明かりを消す} | Other forms: 明り 【あかり】、灯り 【あかり】、灯 【あかり】、灯かり 【あかり】、灯火 【あかり】 [Notes] 灯火: Irregular kanji usage.
空き	あき	JLPT N3	[Noun] 1. space; room; emptiness; gap 2. opening; vacancy; empty seat 3. free time; time to spare 4. disuse; unused thing | Other forms: 明き 【あき】
明らか	あきらか	JLPT N3	[Na-adjective, Noun] 1. obvious; evident; clear; plain | Other forms: 顕らか 【あきらか】 [Notes] 顕らか: Irregular kanji usage.
諦める	あきらめる	JLPT N3	[Ichidan verb, Transitive verb] 1. to give up; to abandon (hope, plans); to resign oneself (to)
飽きる	あきる	JLPT N3	[Ichidan verb, intransitive verb] 1. to get tired of; to lose interest in; to have enough | Other forms: 厭きる 【あきる】、倦きる 【あきる】、倦る 【あきる】 [Notes] 倦る: Irregular okurigana usage.
握手	あくしゅ	JLPT N3	[Noun, Suru verb] 1. handshake
悪魔	あくま	JLPT N3	[Noun] 1. devil; demon; fiend 2. Satan; the Devil {See also サタン, in Christianity and Judaism} 3. Māra; evil spirits or forces that hinder one's path to enlightenment {Buddhist term}
開ける	あける	JLPT N5	[Ichidan verb, Transitive verb] 1. to open (a door, etc.); to unwrap (e.g. parcel, package); to unlock {Only applies to 開ける} 2. to open (for business, etc.) {Only applies to 開ける} 3. to empty; to remove; to make space; to make room {esp. 空ける} 4. to move out; to clear out {esp. 空ける} 5. to be away from (e.g. one's house); to leave (temporarily) {esp. 空ける} [Ichidan verb, intransitive verb] 6. to dawn; to grow light {esp. 明ける} 7. to end (of a period, season) {esp. 明ける} 8. to begin (of the New Year) {esp. 明ける} 9. to leave (one's schedule) open; to make time (for) {esp. 明ける} 10. to make (a hole); to open up (a hole) | Other forms: 空ける 【あける】、明ける 【あける】
明後日	あさって	JLPT N5	[Adverbial noun, Temporal noun] 1. day after tomorrow | Other forms: 明後日 【みょうごにち】
預ける	あずける	JLPT N3	[Ichidan verb, Transitive verb] 1. to give into custody; to leave (a child) in the care of; to entrust; to deposit {See also 預かる} 2. to lean on; to put one's weight on
汗	あせ	JLPT N3	[Noun] 1. sweat; perspiration 2. moisture; condensation
値	あたい	JLPT N3	[Noun, No-adjective] 1. price; cost 2. value; worth; merit 3. value; count; number {Mathematics, Only applies to あたい} 4. variable (computer programming, programing) {Computer terminology, Only applies to あたい} [Wikipedia definition] 5. Value | Other forms: 価 【あたい】、價 【あたい】、値 【ね】、直 【ね】 [Notes] 價: Out-dated kanji.
与える	あたえる	JLPT N3	[Ichidan verb, Transitive verb] 1. to give (esp. to someone of lower status); to bestow; to grant; to confer; to present; to award 2. to provide; to afford; to offer; to supply 3. to assign 4. to cause 5. to pass (a variable to a function) {Computer terminology}
暖かい	あたたかい	JLPT N5	[I-adjective] 1. warm; mild; genial {暖かい, 暖い usu. refer to air temperature} | Other forms: 暖かい 【あったかい】、温かい 【あたたかい】、温かい 【あったかい】、暖い 【あたたかい】、暖い 【あったかい】 [Notes] 暖い: Irregular okurigana usage. 暖い: Irregular okurigana usage.
辺り	あたり	JLPT N3	[Noun] 1. on the bank of; by the side of (e.g. a river, pond) {Usually written using kana alone, esp. ほとり} 2. (in the) neighbourhood; neighborhood; vicinity; nearby [Noun - used as a suffix] 3. around (Sunday, last year, etc...) {Only applies to あたり} 4. for instance {Only applies to あたり} | Other forms: 辺り 【ほとり】、畔 【ほとり】
当たる	あたる	JLPT N3	[Godan verb with ru ending, intransitive verb] 1. to be hit; to strike {Antonym: 外す} 2. to touch; to be in contact; to be affixed 3. to be equivalent to; to be applicable; to apply to 4. to be right on the money (of a prediction, criticism, etc.) 5. to be selected (in a lottery, etc.); to win 6. to be successful; to go well; to be a hit 7. to face; to confront 8. to lie (in the direction of) 9. to undertake; to be assigned 10. to be stricken (by food poisoning, heat, etc.); to be afflicted 11. to be called upon (by the teacher) 12. to treat (esp. harshly); to lash out at 13. to be unnecessary {as 〜するには当たらない, etc.} 14. to be hitting well; to be on a hitting streak {Baseball term, usu. as 当たっている} 15. (in fishing) to feel a bite 16. (of fruit, etc.) to be bruised; to spoil [Godan verb with ru ending, Transitive verb] 17. to feel (something) out; to probe into; to check (i.e. by comparison) 18. to shave 19. to be a relative of a person; to stand in a relationship {as 〜の〜に当たる} | Other forms: 当る 【あたる】、中る 【あたる】、中たる 【あたる】
彼方此方	あちこち	JLPT N3	[Adverb, Pronoun] 1. here and there; all around; everywhere; throughout; all over {Usually written using kana alone} [Suru verb] 2. to get things in the wrong order (back to front); to become muddled up {Usually written using kana alone, Only applies to あちこち, Only applies to あちらこちら, Only applies to あっちこっち, Only applies to アチコチ} | Other forms: 彼方此方 【あちらこちら】、彼方此方 【あっちこっち】、彼方此方 【かなたこなた】、彼方此方 【あなたこなた】、アチコチ [Notes] あなたこなた: Out-dated or obsolete kana usage.
アッ	アッ	JLPT N3	1. oh; ah
扱う	あつかう	JLPT N3	[Godan verb with u ending, Transitive verb] 1. to deal with (a person); to treat; to handle; to take care of; to entertain 2. to deal with (a problem); to handle; to manage 3. to operate (e.g. a machine); to handle; to work 4. to deal in; to sell 5. to cover (a topic); to treat; to discuss; to take up 6. to treat A as B {as ＡをＢとして扱う} 7. to mediate (an argument) {Archaism} 8. to be too much for one; to find unmanageable {Archaism} 9. to gossip {Archaism}
悪口	あっこう	JLPT N3	[Noun, Suru verb] 1. abuse; insult; slander; evil speaking; bad mouth | Other forms: 悪口 【わるくち】、悪口 【わるぐち】、惡口 【あっこう】、惡口 【わるくち】、惡口 【わるぐち】 [Notes] 惡口: Out-dated kanji. 惡口: Out-dated kanji. 惡口: Out-dated kanji.
集まり	あつまり	JLPT N3	[Noun] 1. gathering; meeting; assembly; collection; attendance | Other forms: 集り 【あつまり】 [Notes] 集り: Irregular okurigana usage.
当てる	あてる	JLPT N3	[Ichidan verb, Transitive verb] 1. to hit 2. to expose 3. to apply (e.g. patch); to put on; to put against; to hold on; to hold against 4. to allot; to call on someone (e.g. in class) 5. to guess (an answer) 6. to make a hit (e.g. in a lottery)
穴	あな	JLPT N3	[Noun, Noun - used as a suffix] 1. hole {See also 穴が開く, also read めど for this sense} 2. deficit; shortage; missing person (in a team, meeting, etc.) 3. vacancy; opening 4. flaw 5. profitable place (or item, etc.) not well known by others 6. upset victory (with a large payoff) 7. pit (of a theater) {Slang, See also 平土間} 8. hiding place {Archaism} 9. underbelly (of society, etc.) {Archaism} | Other forms: 孔 【あな】
浴びる	あびる	JLPT N5	[Ichidan verb, Transitive verb] 1. to dash over oneself (e.g. water); to take (e.g. shower); to bask in (e.g. the sun); to bathe in; to be flooded with (e.g. light); to be covered in 2. to suffer (e.g. an attack); to draw (e.g. criticism, attention, praise); to have heaped upon; to be showered with
油	あぶら	JLPT N3	[Noun] 1. oil {See also 脂 あぶら}
余り	あまり	JLPT N5	[Na-adjective, Adverb, No-adjective, Noun, Noun - used as a suffix] 1. remainder; rest; balance; remains; scraps; residue; remnant {Usually written using kana alone} [Adverb] 2. not very (with negative sentence); not much {Usually written using kana alone} [Adverb, No-adjective] 3. surplus; excess; fullness; too much {Usually written using kana alone, See also の余り のあまり} [Noun - used as a suffix] 4. more than; over | Other forms: 余り 【あんまり】、餘り 【あまり】、餘り 【あんまり】 [Notes] 餘り: Out-dated kanji. 餘り: Out-dated kanji.
誤り	あやまり	JLPT N3	[Noun] 1. error; mistake; slip; bug | Other forms: 謬り 【あやまり】、謬 【あやまり】 [Notes] 謬: Irregular okurigana usage.
粗い	あらい	JLPT N3	[I-adjective] 1. coarse; rough
嵐	あらし	JLPT N3	[Noun] 1. storm; tempest 2. difficulty; trouble
新た	あらた	JLPT N3	[Na-adjective, Noun] 1. new; fresh; novel
有らゆる	あらゆる	JLPT N3	[Pre-noun adjectival] 1. all; every {Usually written using kana alone} | Other forms: 凡ゆる 【あらゆる】
表す	あらわす	JLPT N3	[Godan verb with su ending, Transitive verb] 1. to represent; to signify; to stand for {esp. 表す, 表わす} 2. to reveal; to show; to display {esp. 現す, 現わす} 3. to express {See also 言い表す, esp. 表す, 表わす} 4. to make widely known {esp. 顕す} | Other forms: 現す 【あらわす】、表わす 【あらわす】、現わす 【あらわす】、顕す 【あらわす】
現れ	あらわれ	JLPT N3	[Noun] 1. embodiment; manifestation; materialization; materialisation; expression; indication | Other forms: 表れ 【あらわれ】、現われ 【あらわれ】、表われ 【あらわれ】、顕れ 【あらわれ】
現れる	あらわれる	JLPT N3	[Ichidan verb, intransitive verb] 1. to appear; to come in sight; to become visible; to come out; to embody; to materialize; to materialise 2. to be expressed (e.g. emotions); to become apparent (e.g. trends, effects) | Other forms: 現われる 【あらわれる】、表れる 【あらわれる】、表われる 【あらわれる】、顕れる 【あらわれる】、顕われる 【あらわれる】 [Notes] 顕われる: Irregular okurigana usage.
有り難う	ありがとう	JLPT N3	1. Thank you; Thanks {Usually written using kana alone, Abbreviation, See also 有り難い, See also 有り難うございます, from 有り難く} | Other forms: 有難う 【ありがとう】
或	ある	JLPT N3	[Pre-noun adjectival] 1. a certain ...; some ... {Usually written using kana alone} | Other forms: 或る 【ある】
有る	ある	JLPT N5	Godan verb with ru ending (irregular verb), intransitive verb 1. to be (usu. of inanimate objects); to exist; to live {Usually written using kana alone, See also 居る いる} 2. to have {Usually written using kana alone} 3. to be located {Usually written using kana alone} 4. to be equipped with {Usually written using kana alone} 5. to happen; to come about {Usually written using kana alone} | Other forms: 在る 【ある】
或いは	あるいは	JLPT N3	[Adverb, Conjunction, Expression] 1. or; possibly {Usually written using kana alone} | Other forms: 或は 【あるいは】、或は 【あるは】 [Notes] 或は: Irregular okurigana usage. 或は: Irregular okurigana usage.
アルバム	アルバム	JLPT N3	[Noun] 1. album
泡	あわ	JLPT N3	[Noun] 1. bubble; foam; froth; head on beer | Other forms: 沫 【あわ】、泡 【あぶく】
