A: ムーリエルは２０歳になりました。	Muiriel is 20 now.#ID=1282_4707
A: すぐに諦めて昼寝をするかも知れない。	I may give up soon and just nap instead.#ID=1300_4727
A: 「これはとてもおもしろそうだね」とひろしが言います。	"This looks pretty interesting," Hiroshi says.#ID=1514_4925
A: 失礼だが、上記の記事にある３つの誤りを指摘しておきたい。	Excuse me; allow me to point out three errors in the above article.#ID=1587_4991
A: 学校まで１０分で歩いて行ける。	I can walk to school in ten minutes.#ID=73381_5022
A: PC内部のタイマー用ボタン電池が切れた。	The button battery in the PC's internal timer has gone flat.#ID=329695_74025
A: 来年６月２２日に観測される皆既日食。	The total solar eclipse can be observed next year on June 22nd.#ID=329664_74056
A: ママ〜！あのお姉ちゃんとお兄ちゃん、お手手繋いで、すっごく仲良しさんだね〜！	Mama! That lady and man are holding hands, they're great friends aren't they!#ID=329621_74099
A: これは一押しのレストランなんだ。	This is a highly recommended restaurant.#ID=329568_74152
A: 私自身も、当社に入社する前の会社では、２度ほどトップに直言した経験があります。	I myself have, before becoming employed by this company, twice spoken bluntly to the people at the top.#ID=329553_74167
A: 第１３週：絶対運動と相対運動について学習する。	Week 13: Learn about absolute, and relative, motion.#ID=329549_74171
A: ここで使われている文法形式は現在進行形である。	The grammatical form employed here is the present progressive.#ID=329515_74205
A: ちなみに、それはこの話の後日談にする予定です。	By the way, I plan to do that for this story's sequel.#ID=329503_74217
A: う〜む、相貌から判断するに上海からか。	Hrmmm, to judge from their looks they might be from Shanghai.#ID=329421_74299
A: お宮参りで訪れた大西幸治さん(40)、由希恵さん(34)夫妻は「子どもが健やかに育つことを祈りました」と話していた。	The couple who came on a shrine visit, Kouji Oonishi (40) and his wife Yukie (34) said, "We prayed that our child would grow up healthily."#ID=329410_74310
A: 直径23m(下段)及び18m(上段)、高さ5ｍの二段式の円墳である。	It is a two level style round burial mound, 23m diameter (lower level), 18m (higher).#ID=329405_74315
A: どこかへ逃避行したい。蒸し暑い夏はそんな気分になりがち。	I want to disappear somewhere! I tend to feel like that in sultry summers.#ID=329381_74339
A: 日本の養殖真珠は世界の真珠市場の６割を占めるまでになった。	Japanese cultured pearls have come to monopolise as much as 60% of the world pearl market.#ID=329349_74371
A: 進化という科学的真理が反対しようもないほど確証されるもので、実質的に論駁できない。	The scientific truth of evolution is so overwhelmingly established, that it is virtually impossible to refute.#ID=329321_74399
A: 何でもかんでもメモをしますがあとで使い物になりません。	I note down absolutely everything, but they're no good to me afterwards.#ID=329310_74410
A: 米消費者団体がRealPlayerを「バッドウェア」と認定。	American consumer group identifies RealPlayer as 'badware'.#ID=329290_74430
A: ４．煮え立たせる寸前で弱火にして、もう一度灰汁を取り除きます。	4. Just before bringing it to the boil, set to a low flame and remove the scum again.#ID=329229_74490
A: アートファイル(.art)の使用法がわかりません。	I don't know how to use an art file (.art).#ID=329214_74505
A: 銀行融資を受けたいのだけど手続きはどうしたらいいの？	I'd like to get a bank loan; how do I go about that?#ID=329185_74534
A: 私は、気が強い女が嫌なんです。	I hate strong-minded women.#ID=329178_74541
A: ブルース夫人は英日間を飛んだ最初の女性パイロットであった。	Mrs. Bruce was the first female pilot to fly between England and Japan.#ID=329144_74575
A: 普通の人は、３Ｄだとか高速でうんたらだとか必要としないですからね。	Because an average person doesn't need 3D, or high whatchacallit speeds.#ID=329055_74664
A: グレートブリテンは紳士と乗馬の国です。	Great Britain is a land of gentlemen and horse riding.#ID=328895_74824
A: イージス衝突 ― なぜ避けられなかったか。	The Aegis collision - why couldn't it have been avoided?#ID=328787_74932
