wanikani	word	reading	sense 1	sense 2	sense 3	url
1	三	さん	three	tri-		http://jisho.org/word/%E4%B8%89
1	上	うえ	above, up, over, elder (e.g. daughter)	top, summit	surface, on	http://jisho.org/word/%E4%B8%8A
1	一	いち	one	best	first, foremost	http://jisho.org/word/%E4%B8%80
1	八	はち	eight			http://jisho.org/word/%E5%85%AB
1	二	に	two			http://jisho.org/word/%E4%BA%8C
1	下さい	ください	please give me	please do for me		http://jisho.org/word/%E4%B8%8B%E3%81%95%E3%81%84
1	大きい	おおきい	big, large, great, loud			http://jisho.org/word/%E5%A4%A7%E3%81%8D%E3%81%84
1	一人	ひとり	one person	alone, unmarried, solitary		http://jisho.org/word/%E4%B8%80%E4%BA%BA
1	二人	ふたり	two persons, two people, pair, couple			http://jisho.org/word/%E4%BA%8C%E4%BA%BA
1	大人	おとな	adult	Adult		http://jisho.org/word/%E5%A4%A7%E4%BA%BA
1	人	ひと	man, person	human being, mankind, people	human (Homo sapiens), humans as a species	http://jisho.org/word/%E4%BA%BA
1	二つ	ふたつ	two			http://jisho.org/word/%E4%BA%8C%E3%81%A4
1	口	くち	mouth	opening, hole, gap, orifice	mouth (of a bottle), spout, nozzle, mouthpiece	http://jisho.org/word/%E5%8F%A3
1	十	じゅう	ten			http://jisho.org/word/%E5%8D%81
1	川	かわ	river, stream	the .... river, (suffix used with the names of rivers)	Gawa	http://jisho.org/word/%E5%B7%9D
1	七	しち	seven	hepta-		http://jisho.org/word/%E4%B8%83
1	入れる	いれる	to put in, to let in, to take in, to bring in, to insert, to set (a jewel, etc.), to ink in (e.g. a tattoo)	to admit, to accept, to employ, to hire	to accept, to comply, to grant, to adopt (a policy, etc.), to take (advice, etc.), to listen to, to pay attention to	http://jisho.org/word/%E5%85%A5%E3%82%8C%E3%82%8B
1	下	した	below, down, under, younger (e.g. daughter)	bottom	beneath, underneath	http://jisho.org/word/%E4%B8%8B
1	三つ	みっつ	three			http://jisho.org/word/%E4%B8%89%E3%81%A4
1	入口	いりぐち	entrance, entry, gate, approach, mouth			http://jisho.org/word/%E5%85%A5%E5%8F%A3
1	一つ	ひとつ	one	for one thing	only	http://jisho.org/word/%E4%B8%80%E3%81%A4
1	九つ	ここのつ	nine			http://jisho.org/word/%E4%B9%9D%E3%81%A4
1	七つ	ななつ	seven			http://jisho.org/word/%E4%B8%83%E3%81%A4
1	八つ	やっつ	eight			http://jisho.org/word/%E5%85%AB%E3%81%A4
